# DISTRIBUCION POR FACTURACION
# > 100M €: 1 empresa
# 25M-100M €: 2 empresas
# 5M-25M €: 13 empresas
# 500K-5M €: 126 empresas
# < 500K €: 442 empresas
# Total: 584 empresas
nombre
3 Lll S
A M M P Asesores
A.m.m.p. Asesores Slp
Ababol Ecosalud Sociedad Limitada
Academia De Logistica
Academia Hispania Sociedad Limitada
Accion Preventiva Integral Sl
Acero Calatayud Sa
Acero Textil Sl
Acondicionamientos Acopin
Activ Medical Iberica Sociedad Limitada
Activa T
Adaix Bilbilis
Adibil Centro Especial De Empleo Sl
Adoso Hoteles S.l
Adri Calatayud
Adubos Deiba Lda
Afersa Fertilizantes Sl
Ag Erikson Laboratorios Consultoria Sociedad De Responsabilidad Limitada
Agencia De Seguros Alvarez Belloso Sl
Agriayud Sl
Agricola Del Jalon
Agricultura 2008 Sociedad Limitada
Agricultura Integrada Valtorres Sociedad Limitada
Agrodiloy Seccion Fitos Sl
Agrodiloy Sl
Agroformacion Sociedad Limitada
Agrofuentes Calatayud Sociedad Limitada
Agropecuaria Huerta San Iñigo Sociedad Limitada
Agroprediccion Sociedad Limitada
Agrupacion Medica Bilbilis
Aguirre Valtierra Sll
Agustin Y Mazana Comunidad De Gastos
Aire Joven
Ajm Servicios Y Ocio Sl
Alba Y Victor
Albacete Y Vicen Sl
Alca Joyeros Sl
Alce Siglo Xxi
Aldea Agricola Sociedad Limitada
Ale Correduria De Seguros Ara Star Sociedad Limitada
Alimentacion David
Alimentaria Hnos Olivas
Alimentaria Hnos. Olivas Sl
Almendras Del Jalon De Calatayud
Alo Chesan Sl
Alonso Ochoa C.b
Alonso Ochoa Sl
Alonso Restauracion Sociedad Limitada
Altam Bilbilis Sociedad Limitada
Aluminios Gimeno Sl
Amalia Ramos
Ambientes De Calatayud Sl
Ampa De Educacion Especial Calatayud
Ana Dorina
Anahata Sociedad Limitada
Anamoig Sociedad Limitada
Andregar Sl
Anfora Reformas
Angel Millan Sl
Angloframa Sl
Anmica Restauracion S.l
Anmigrif Sociedad Limitada
Antenas Angel Sociedad Limitada
Aparcamiento Warsage Sociedad Limitada
Apm Consulting Sl
